perf_id,emp_id,month,productivity_score,task_completion_rate,quality_score
179,30,2024-11,51,67.69,3.08
180,30,2024-12,65,66.76,3.56
181,31,2024-07,59,68.25,3.73
182,31,2024-08,50,80.14,4.38
183,31,2024-09,54,94.94,4.84
184,31,2024-10,62,62.44,3.55
185,31,2024-11,66,67.38,3.42
186,31,2024-12,67,74.82,3.97
187,32,2024-07,45,78.5,4.49
188,32,2024-08,73,61.47,3.5
189,32,2024-09,65,80.47,4.06
190,32,2024-10,63,64.29,3.89
191,32,2024-11,44,70.77,3.75
192,32,2024-12,62,60.8,3.64
193,33,2024-07,59,64.79,4.78
194,33,2024-08,55,83.74,4.36
195,33,2024-09,65,63.48,4.07
196,33,2024-10,79,83.47,4.49
197,33,2024-11,55,71.35,3.73
198,33,2024-12,64,85.84,4.14
199,34,2024-07,47,64.07,3.31
200,34,2024-08,65,69.84,3.32
201,34,2024-09,55,66.93,4.79
202,34,2024-10,52,63.21,4.05
203,34,2024-11,62,64.48,3.8
204,34,2024-12,60,98.78,4.73
205,35,2024-07,55,66.84,4.34
206,35,2024-08,67,97.18,4.11
207,35,2024-09,44,90.78,3.37
208,35,2024-10,65,72.95,3.85
209,35,2024-11,44,64.59,4.22
210,35,2024-12,60,71.55,4.16
211,36,2024-07,60,81.3,3.1
212,36,2024-08,48,73.46,3.27
213,36,2024-09,70,70.19,4.36
214,36,2024-10,55,90.41,4.19
215,36,2024-11,36,73.95,4.86
216,36,2024-12,53,93.22,4.93
217,37,2024-07,68,97.53,3.36
218,37,2024-08,59,62.66,4.48
219,37,2024-09,76,65.59,4.59
220,37,2024-10,67,68.07,3.33
221,37,2024-11,68,86.61,4.05
222,37,2024-12,61,74.35,4.75
223,38,2024-07,72,77.57,3.75
224,38,2024-08,56,78.51,3.6
225,38,2024-09,60,69.29,4.8
226,38,2024-10,76,75.36,4.09
227,38,2024-11,62,64.68,4.88
228,38,2024-12,67,85.11,3.67
229,39,2024-07,73,84.8,4.07
230,39,2024-08,66,95.76,4.58
231,39,2024-09,66,69.94,4.49
232,39,2024-10,62,61.34,4.14
233,39,2024-11,74,73.68,4.64
234,39,2024-12,73,64.43,4.69
235,40,2024-07,58,91.89,3.3
236,40,2024-08,51,69.17,4.44
237,40,2024-09,68,87.76,4.09
238,40,2024-10,73,70.07,3.69
239,40,2024-11,43,78.48,4.89
240,40,2024-12,74,66.13,4.17
241,41,2024-07,84,60.72,4.74
242,41,2024-08,61,97.28,4.13
243,41,2024-09,64,88.29,3.31
244,41,2024-10,62,83.05,4.21
245,41,2024-11,75,97.37,4.85
246,41,2024-12,55,78.03,3.23
247,42,2024-07,60,83.65,3.8
248,42,2024-08,70,62.19,3.67
249,42,2024-09,50,81.5,4.84
250,42,2024-10,44,73.85,3.69
251,42,2024-11,57,68.98,3.9
252,42,2024-12,76,65.63,3.35
253,43,2024-07,39,96.59,3.72
254,43,2024-08,65,83.22,4.26
255,43,2024-09,63,63.41,4.99
256,43,2024-10,54,80.09,4.19
257,43,2024-11,65,68.4,4.8
258,43,2024-12,65,68.21,3.38
259,44,2024-07,65,82.59,3.13
260,44,2024-08,60,91.02,3.91
261,44,2024-09,39,76.03,4.12
262,44,2024-10,75,66.21,3.36
263,44,2024-11,51,85.76,3.82
264,44,2024-12,58,61.02,3.31
265,45,2024-07,69,61.08,3.44
266,45,2024-08,72,69.24,4.34
267,45,2024-09,55,86.11,3.48
268,45,2024-10,64,63.98,3.49
269,45,2024-11,67,93.21,3.79
270,45,2024-12,64,86.72,3.41
271,46,2024-07,75,60.52,3.17
272,46,2024-08,67,68.32,3.05
273,46,2024-09,73,76.86,4.79
274,46,2024-10,58,92.7,3.68
275,46,2024-11,63,83.61,3.54
276,46,2024-12,56,84.97,3.82
277,47,2024-07,40,71.78,4.9
278,47,2024-08,76,90.54,3.28
279,47,2024-09,60,95.78,4.6
280,47,2024-10,71,77.01,3.04
281,47,2024-11,63,85.34,3.52
282,47,2024-12,43,65.57,4.67
283,48,2024-07,60,66.87,3.54
284,48,2024-08,63,60.74,4.83
285,48,2024-09,61,70.96,4.11
286,48,2024-10,51,86.06,4.66
287,48,2024-11,62,84.02,4.33
288,48,2024-12,69,67.01,4.83
289,49,2024-07,42,80.76,3.09
290,49,2024-08,48,66.65,4.48
291,49,2024-09,61,69.81,3.78
292,49,2024-10,53,71.55,3.71
293,49,2024-11,51,82.66,3.95
294,49,2024-12,70,86.55,4.87
295,50,2024-07,52,61.25,3.52
296,50,2024-08,67,83.8,3.1
297,50,2024-09,85,73.37,4.54
298,50,2024-10,60,64.26,3.15
299,50,2024-11,60,87.54,3.87
300,50,2024-12,77,69.86,4.64
